,field,candidate id,object id,object ra,object dec,object MJD,object filter,object magnitude,object magnitude error,object real/bogus score,exposure id,mean seeing,airmass,object datetime,parallactic angle
4265,COSMOS,DC21jrqv,1208582,149.06654023673,3.22100062772,59355.98181258,r,19.115,0.01,1.0,1033,1.384,1.22,2021-05-21 23:33:48.606912,159.95204228646668
4266,COSMOS,DC21fuhj,620439,149.29528688112,3.11608550413,59319.11367262,g,21.834,0.033,1.0,505,1.036,1.3,2021-04-15 02:43:41.314368,146.84361107479995
4267,COSMOS,DC21fuhj,622493,149.2952386028,3.11610191341,59319.11471672,r,21.278,0.022,1.0,506,0.918,1.31,2021-04-15 02:45:11.524608,146.45736551209828
4268,COSMOS,DC21fuhj,10054633,149.29518765803,3.11612623614,59319.11605387,i,21.106,0.026,1.0,2015,0.843,1.31,2021-04-15 02:47:07.054368,145.9689789955515
4269,COSMOS,DC21fuhj,632613,149.29489807031,3.11622625679,59319.12633546,g,21.82,0.034,1.0,514,1.105,1.35,2021-04-15 03:01:55.383744,142.44301307400224
4270,COSMOS,DC21fuhj,634389,149.29485879635,3.11622992511,59319.12735349,r,21.262,0.021,1.0,515,0.968,1.36,2021-04-15 03:03:23.341536,142.11537295779533
4271,COSMOS,DC21fuhj,10056847,149.29481445768,3.11624563183,59319.12867876,i,21.12,0.025,0.063,2018,0.888,1.37,2021-04-15 03:05:17.844864,141.69449573623567
4272,COSMOS,DC21fkvl,570362,149.29735866984,3.11544615836,59319.04774998,g,21.857,0.033,1.0,476,1.024,1.19,2021-04-15 01:08:45.598272,179.21222839953313
4273,COSMOS,DC21fkvl,576172,149.29731636228,3.11545970879,59319.04876279,r,21.268,0.022,1.0,477,0.877,1.19,2021-04-15 01:10:13.105056,178.63635818247698
4274,COSMOS,DC21fkvl,10048463,149.29725943057,3.11545983856,59319.0500871,i,21.1,0.028,1.0,2006,0.809,1.19,2021-04-15 01:12:07.525440,177.88386865858328
4275,COSMOS,DC21fkvl,584660,149.29694420707,3.11557680916,59319.06079798,g,21.794,0.033,1.0,486,1.064,1.2,2021-04-15 01:27:32.945472,171.8541422309757
4276,COSMOS,DC21fkvl,585778,149.29689765533,3.11559023813,59319.06182515,r,21.235,0.024,1.0,487,0.998,1.2,2021-04-15 01:29:01.692960,171.28431308913534
4277,COSMOS,DC21gcfg,666528,149.29523621115,3.13849321299,59322.06624931,g,21.971,0.048,1.0,534,1.176,1.21,2021-04-18 01:35:23.940384,164.4901481765492
4278,COSMOS,DC21gcfg,668113,149.29523870288,3.13853754984,59322.06726977,r,21.452,0.03,1.0,535,1.023,1.21,2021-04-18 01:36:52.108128,163.95946990701037
4279,COSMOS,DC21gcfg,10062770,149.29522222703,3.13856802573,59322.06859985,i,21.384,0.036,1.0,2026,0.945,1.21,2021-04-18 01:38:47.027040,163.2726708939833
4280,COSMOS,DC21gcfg,692791,149.2952072135,3.13878371176,59322.07884438,g,21.915,0.035,1.0,543,0.953,1.23,2021-04-18 01:53:32.154432,158.1857456258101
4281,COSMOS,DC21gcfg,693568,149.29522245071,3.1387996588,59322.07987078,r,21.386,0.024,0.029,544,0.884,1.23,2021-04-18 01:55:00.835392,157.69716948320297
4282,COSMOS,DC21gcfg,10063870,149.2952075662,3.13884642368,59322.08122086,i,21.189,0.029,1.0,2029,0.891,1.23,2021-04-18 01:56:57.482304,157.0606134951817
4283,COSMOS,DC21kfkv,1283935,149.14934923158,3.18849153012,59366.97621734,g,21.159,0.027,1.0,1142,1.513,1.28,2021-06-01 23:25:45.178176,149.18815769238842
4284,COSMOS,DC21kfkv,1285321,149.14960616677,3.18844448181,59366.9774778,g,21.114,0.025,1.0,1143,1.434,1.28,2021-06-01 23:27:34.081920,148.6929030186921
4285,COSMOS,DC21bchti,3105012,149.14927287643,3.24008712737,59372.95963224,g,22.467,0.093,0.509,1435,1.31,1.28,2021-06-07 23:01:52.225536,149.30026029383387
4286,COSMOS,DC21bchti,3103976,149.14953537753,3.24008069304,59372.96090051,g,22.459,0.083,0.71,1436,1.187,1.28,2021-06-07 23:03:41.804064,148.8011570995166
4287,COSMOS,DC21bchti,3106345,149.14980484612,3.24003204417,59372.96215702,r,21.708,0.053,1.0,1437,1.062,1.29,2021-06-07 23:05:30.366528,148.31298881730527
4288,COSMOS,DC21bchti,3106179,149.15007662696,3.24000705363,59372.96329646,r,21.735,0.054,0.998,1438,1.022,1.29,2021-06-07 23:07:08.814144,147.87576734339137
4289,COSMOS,DC21kgwl,1291487,149.23327335031,3.23311740389,59366.97621734,g,21.704,0.041,1.0,1142,1.513,1.28,2021-06-01 23:25:45.178176,149.3079164149428
4290,COSMOS,DC21kgwl,1293164,149.23364193121,3.23308828047,59366.9774778,g,21.607,0.035,1.0,1143,1.434,1.28,2021-06-01 23:27:34.081920,148.81179089532588
4291,COSMOS,DC21jrsq,11990281,149.10636010575,3.37893567235,59355.97927363,g,19.39,0.016,1.0,7628,1.583,1.22,2021-05-21 23:30:09.241632,161.33482508396798
4292,COSMOS,DC21jrsq,1208265,149.10674097707,3.37891226407,59355.98053882,g,19.443,0.014,1.0,1032,1.436,1.22,2021-05-21 23:31:58.554048,160.70764753143936
4293,COSMOS,DC21jrsq,1208394,149.10711131423,3.37891508357,59355.98181258,r,18.911,0.008,0.992,1033,1.384,1.22,2021-05-21 23:33:48.606912,160.0818620125198
4294,COSMOS,DC21gfjs,685859,149.12698509035,3.38099848505,59322.11203207,g,21.495,0.024,1.0,553,0.944,1.33,2021-04-18 02:41:19.570848,144.5002331882092
4295,COSMOS,DC21gfjs,688526,149.12702524566,3.38101013008,59322.11304963,r,20.784,0.012,1.0,554,0.796,1.33,2021-04-18 02:42:47.488032,144.15161624227278
